Date,OECD total,United States,Other OECD
2022-01-01,2647.60185,1190.10285,1457.499
2022-02-01,2619.752228,1165.614228,1454.138
2022-03-01,2605.418099,1154.238099,1451.18
2022-04-01,2656.759189,1153.830189,1502.929
2022-05-01,2668.669406,1172.156406,1496.513
2022-06-01,2656.627603,1180.409603,1476.218
2022-07-01,2713.865088,1215.318088,1498.547
2022-08-01,2718.00758,1212.67158,1505.336
2022-09-01,2742.096108,1215.559108,1526.537
2022-10-01,2763.700746,1230.513746,1533.187
2022-11-01,2785.833977,1226.776977,1559.057
2022-12-01,2773.530063,1222.592063,1550.938
2023-01-01,2818.245865,1253.793865,1564.452
2023-02-01,2803.58239,1266.70639,1536.876
2023-03-01,2751.803547,1229.973547,1521.83
2023-04-01,2815.440485,1245.582485,1569.858
2023-05-01,2808.772517,1260.043517,1548.729
2023-06-01,2782.588135,1263.076135,1519.512
2023-07-01,2810.152571,1269.931571,1540.221
2023-08-01,2814.842825,1258.557825,1556.285
2023-09-01,2819.898711,1282.426711,1537.472
2023-10-01,2784.535242,1263.633242,1520.902
2023-11-01,2777.897361,1263.984361,1513.913
2023-12-01,2768.959467,1251.418467,1517.541
2024-01-01,2766.583741,1232.141741,1534.442
2024-02-01,2768.17543,1222.32243,1545.853
2024-03-01,2762.802862,1231.517862,1531.285
2024-04-01,2825.572543,1259.188543,1566.384
2024-05-01,2843.088664,1276.454664,1566.634
2024-06-01,2829.892859,1279.341859,1550.551
2024-07-01,2822.529447,1287.060447,1535.469
2024-08-01,2831.982636,1276.634636,1555.348
2024-09-01,2796.086728,1267.355728,1528.731
2024-10-01,2760.181022,1248.833022,1511.348
2024-11-01,2751.842569,1246.860569,1504.982
2024-12-01,2744.072107,1236.141107,1507.931
2025-01-01,2743.007002,1210.793002,1532.214
2025-02-01,2726.707007,1201.320007,1525.387
2025-03-01,2739.287403,1204.668403,1534.619
2025-04-01,2743.921587,1215.308587,1528.613
2025-05-01,2791.130134,1242.325134,1548.805
2025-06-01,2777.166413,1244.585413,1532.581
2025-07-01,2809.625501,1265.032501,1544.593
2025-08-01,2853.547525,1285.551525,1567.996
2025-09-01,2858.136844,1290.168844,1567.968
2025-10-01,2818.366078,1274.133078,1544.233
2025-11-01,2829.177134,1285.634134,1543.543
2025-12-01,2829.078148,1286.129148,1542.949
2026-01-01,2802.306947,1266.453947,1535.853
2026-02-01,2824.168653,1270.051653,1554.117
2026-03-01,2797.934366,1280.581366,1517.353
2026-04-01,2745.522818,1246.952818,1498.57
2026-05-01,2681.6397587,1227.201244,1454.4385147
2026-06-01,2643.899039,1208.484165,1435.414874
2026-07-01,2645.4605185,1223.7880403,1421.6724782
2026-08-01,2579.8902026,1218.716,1361.1742026
2026-09-01,2527.2543832,1221.266,1305.9883832
